VanillicAcid	Dihydrokaempferol	SyringicAcid	INAUDPC	WISFinal
154.4383541	-0.062783168	40.84473934	18.221	0.1
468.574791	-0.059306426	66.47643256	8.211	0.05
100.0824165	-0.073214431	25.61485857	63.7	0.05
58.63419773	-0.066662405	15.13613118	5.46	0.0
114.4492209	-0.076466931	34.90909805	64.169	0.0
78.31655256	-0.057535533	18.51495088	2.149	0.0
163.5894121	-0.036156105	26.47796216	14.028	0.02
128.04814679999998	-0.07420793099999999	58.26691977	21.49	0.035
481.0889415	-0.05631696200000001	42.55702018	50.393	0.0
384.7511529	-0.049258375	49.10466477	44.576	0.08
161.0145881	-0.055319182	21.8091258	36.624	0.05
149.1213768	-0.066749537	19.34742926	26.376	0.04
180.1428371	0.01225542	31.95971123	25.739	0.0
86.49970107	1.009976442	37.94957312	11.039	0.0
102.1169441	-0.072440262	25.27191707	42.69300000000001	0.0
126.0604883	-0.068677562	17.55108316	32.9	0.0
87.61090984	-0.035682693	15.88587843	66.962	0.0
70.42387372	10.89010463	30.72743426	21.28	0.02
48.15271899	-0.045877227	21.58924588	72.331	0.075
144.8685413	0.152330869	21.25529049	31.031	0.05
78.47295789	-0.079195995	22.65122257	56.26600000000001	0.0
100.9539329	0.143108708	36.38004031	63.07	0.0
156.08296049999996	-0.062017076	31.25949089	103.369	0.05
159.5528429	0.035044108	6.1272471510000015	112.0	0.0
111.4264549	-0.064863514	15.68833596	13.118	0.03
150.8764403	-0.061418526	32.53459105	19.39	0.0
94.60182898	0.422197556	12.51591027	62.293	0.01
62.47540371	0.562413151	10.84870344	21.707	0.0
119.589091	0.016321632	23.78296577	3.99	0.0
103.3040099	-0.042702916	17.7949585	28.077	0.0
48.4892298	-0.054002588	19.65224081	28.483	0.0
143.7409812	-0.061677003	28.16256662	104.3	0.01
72.3832622	-0.0063832080000000005	34.37484964	5.901	0.0
212.9311217	-0.029621407	20.58941997	60.9	0.05
251.1899851	-0.069793617	42.55463625	44.338	0.02
89.99709602	-0.069139922	15.13015904	100.338	0.04
111.0137439	-0.073443217	34.86024404	44.82100000000001	0.0
218.2180005	-0.029965754	46.5011445	45.038	0.02
147.87583940000005	-0.07613193900000001	32.08467934	93.331	0.01
165.1317849	-0.030264524	10.85197928	53.669	0.05
103.6431047	0.196900287	17.48180401	4.018	0.01
116.2950143	0.042432754	32.59698268	74.66199999999998	0.05
113.8606101	0.017818085	26.16023006	46.949	0.02
165.86724180000004	-0.077539895	23.85892105	24.983	0.01
73.19216929	-0.060855163	41.31340056	134.16899999999998	0.08
137.03864030000003	-0.064050627	31.18841893	9.583	0.0
103.5521318	0.13666178199999998	20.36777836	38.5	0.0
52.79173361	-0.073300823	37.03118822	63.707	0.026666667
61.47771734	-0.066856052	12.66083912	47.838	0.06
183.3445016	-0.071695556	30.78303843	37.821	0.05
87.61460543	-0.077235752	18.79120871	21.49	0.01
178.6502604	-0.07547975700000001	19.69740109	205.338	0.24
169.8177503	-0.06774103	15.53240781	44.338	0.02
136.9936592	-0.08221365900000001	10.28269849	26.369	0.08
101.9921038	-0.050196256	20.32606585	57.4	0.075
71.78660055	-0.030218558	18.8136042	43.162	0.0125
73.14647236	1.347187093	20.09730199	39.942	0.01
61.12848557	-0.081014643	20.63941217	26.362	0.025
162.6158427	-0.07563841	41.42834516	116.669	0.0
64.22640458	-0.059621918	27.19943596	28.287	0.0
256.8534897	-0.060228286	71.93249088	16.87	0.0
133.7858193	-0.036801702	27.81318541	33.824	0.0
