Accession,LineName,X4CGA,Apigenin,Apigenin7Oglu,CaffeicAcid,Chrysoeriol,ConiferylAldehyde,Dihydrokaempferol,Dihydroquercetin,Eriodicytol,Isoorientin,Luteolin,Naringenin,pCoumaricAcid,Phenylalanine,QuinicAcid,Rhamnosylisoorientin,SinapicAcid,SyringicAcid,Tricin,VanillicAcid,Vanillin,Vitexin,Quercetin,Apimaysin,Maysin,Kaempferol,Apigenidin,ShikimicAcid,FerulicAcid,Luteolin7Oglu,Eriodictyol7Oglu,Naringin,Syringol,Naringenin7Oglu
Ames24751,MS226,1.211872515,0.676586044,0.472739107,7.734272312,0.945139556,0.106478165,0.383045247,0.039713247,0.1577428,0.028031612,0.039139928,2.89979456,425.44384,17.08398457,9.652182341,-0.04932959,0.238882018,57.44572156,28.88703782,314.6372536,383.7095402,0.306598353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames24989,Va99,16.65499202,0.254132414,0.4583204,14.27310965,0.36407168,0.120930651,0.061492961,0.016177105,0.09650204,0.02043794,0.051850272,0.909679357,84.36279374,10.94511885,15.60566573,-0.040017319,0.281209528,13.49425034,3.203917172,126.0502308,395.1150914,0.231911224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames25953,CI92,2.036231814,0.356126855,0.468225065,11.5892882,0.431221707,0.234845841,0.056100569,0.022256035,0.118921864,0.024023332,0.072677681,1.125440053,263.9620363,71.96919682,NA,-0.051771982,0.736142043,39.79693004,10.2988108,77.20217347,579.7563369,0.247457481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26022,Tr,2.806842259,1.665030243,1.398097928,5.945066962,6.488677232,0.144326494,NA,0.109927105,0.356380351,0.017467381,0.406977855,2.764035018,171.1942902,NA,10.67366206,0.11514299,0.299908909,23.88435228,19.46025206,119.6659502,242.5965243,0.47301025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26128,CI40H,2.03948459,1.812946626,1.313656885,6.345116459,1.826485973,0.064373468,0.075228502,0.020880474,0.135847089,0.016561846,0.073920903,1.286961501,51.05085057,14.64032385,11.45629115,0.050730592,0.259136354,14.48077371,4.572456279,166.1619513,256.6175384,0.497316576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26604,38-11,1.820577316,0.285508649,0.464679685,11.75362986,0.728077342,0.0905784,0.193162909,NA,0.146095541,0.028179913,0.039389553,1.171914243,60.58842777,16.83863895,7.236681973,0.111898611,0.194869608,8.979389605,3.060324046,162.2319098,391.8517208,0.282579379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26745,WXB6,8.522454976,1.542571989,1.44088195,6.624781743,2.359853733,0.153757993,0.086250049,0.017805385,0.987182992,0.019399359,0.064988792,23.94961126,242.5381783,12.5451941,11.49718493,0.009549428,0.170841638,33.47391564,8.330358905,251.013664,395.5018002,1.010651798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26768,W64A ae/wx,1.167814854,1.040445809,1.569614248,32.8485121,0.86681072,0.028249361,0.080851535,0.015334624,0.387009019,0.030116894,0.051923284,6.466661714,229.1110962,10.27179709,11.35918782,-0.019122397,0.444606158,19.01536178,6.310251146,288.0601706,647.386913,0.474435017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26771,33-16,1.19033694,0.484484728,0.461137187,6.25134786,0.386586719,0.053125714,0.090042104,0.052292949,0.3317364,0.033134253,0.078544282,1.930227532,178.952321,35.85978459,10.26635635,-0.048429823,0.584521057,59.46381752,3.132646662,149.4076373,300.9163682,0.352736042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26772,H5,0.799759183,0.487406245,0.500866481,7.137283938,1.055353637,0.095518194,0.383827514,0.023483939,0.31149388,0.035555146,0.059586233,2.238813617,111.5428408,18.59146903,8.949459524,0.067915246,0.247591998,11.45058388,5.145901786,180.8324369,332.1229863,0.357790226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26774,H14,16.00387223,2.656165378,1.191959106,32.12752937,17.20790668,NA,0.052768419,0.01693943,0.11165507,0.061563188,0.081601566,1.373916556,701.5588356,26.9054861,8.079980945,0.450276346,1.461648225,72.03486081,5.071775321,128.4624882,684.1797724,0.311108005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26787,H49,3.329816708,15.87634569,41.08615652,26.95999884,25.96497712,0.048192843,0.055560094,0.036738103,0.171588338,0.014001967,0.345622665,1.729010361,126.8576633,18.91813539,8.047358225,-0.040153674,0.157364804,13.36234965,8.275515738,138.1992875,459.3254638,0.323997632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26790,H52,0.205287172,0.31525364,0.48787189,3.167540569,0.621923452,0.071479082,0.153961153,0.058383729,0.112056312,0.01195081,0.069031423,0.965026897,50.78815784,26.59554253,9.73057351,-0.003630344,0.155199085,13.58846839,3.272352882,111.317561,179.6115222,0.341144013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26793,H71,0.840718115,3.064642939,1.258063469,4.820746424,6.253176759,NA,1.532145625,0.453910666,0.804248698,0.02700074,0.100440645,7.05837043,283.333878,14.06148498,7.143082665,-0.019415616,0.250189399,90.73392209,29.64234252,135.289896,595.8900181,0.275017281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26797,H96,2.926138934,0.760609535,0.503842619,14.77326791,0.511996864,0.18224615,0.222234228,0.259468754,0.290619113,0.022772829,0.094533143,1.92376146,214.9707758,16.01596125,6.872178023,-0.043285087,0.525368132,28.84140562,3.678799392,161.1269649,402.4096795,0.23927433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26803,H113,0.463814989,5.876924181,5.27515565,6.419288031,3.355239598,0.082217321,NA,0.095510996,1.250776026,0.016336309,0.092426505,6.532114442,121.4848395,10.94927069,6.42481953,-0.015646087,0.126534663,13.7727222,21.05966806,46.15300519,234.6938352,7.137948875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26804,H121,1.54721072,0.24242908,0.453747391,21.47107202,0.365091765,0.311258301,0.156996089,0.026765106,0.101227894,0.012759975,0.042602558,1.645183399,34.35480846,10.6052328,10.4754988,-0.036647484,0.438216698,70.49246875,3.431247143,113.6949612,301.599532,0.228104627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ames26805,H122w,0.541019694,0.322203943,0.456732617,1.716213464,0.391188269,0.084248087,0.07494447,0.040368485,0.087774695,0.013860582,0.054777796,1.49814604,42.85701639,22.16723056,7.658661496,-0.055339334,0.277276212,14.51533609,5.242901711,150.0304926,229.0107606,0.267456854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
